x,Curve1
"-0,89911","137,06"
"-0,69939","115,15"
"-0,49832","127,22"
"-0,29841","156,06"
"-0,09938","136,19"
"0,10305","162,92"
"0,30256","129,78"
"0,50317","176,99"
"0,70377","163,18"
"0,90542","187,28"
