x,Curve1
"-0,89911","96,47"
"-0,69804","90,67"
"-0,49907","107,12"
"-0,29789","130,17"
"-0,09959",163
"0,10149","161,27"
"0,30027","124,85"
"0,50204","111,06"
"0,70089","96,11"
"0,89827","73,29"
