x,Curve1
"-0,89813","16,738"
"-0,69843","45,53"
"-0,49865","35,748"
"-0,29812","29,224"
"-0,0981","52,083"
"0,10276","39,132"
"0,30218","30,442"
"0,5024","30,467"
"0,70289","18,062"
"0,90273","15,851"
