x,Curve1
"-0,90138","794,59"
"-0,69918","731,29"
"-0,49991","762,61"
"-0,29917","715,13"
"-0,09882","757,67"
"0,10409","741,51"
"0,30083","704,58"
"0,50412","667,99"
"0,70158","646,55"
"0,90376","662,71"
