x,Curve1
"-0,89892","9,167"
"-0,6978","32,59"
"-0,49801","24,446"
"-0,29855","19,03"
"-0,09929","38,28"
"0,10267","27,196"
"0,30283","20,02"
"0,50269","20,044"
"0,70211","10,21"
"0,90268","8,544"
