x,Curve1
"-0,89958","845,04"
"-0,70065","782,06"
"-0,50066","810,42"
"-0,29991","762,61"
"-0,09957","810,75"
"0,10117","793,93"
"0,29973","755,03"
"0,50228","718,43"
"0,70193","696,67"
"0,90119","713,81"
