x,Curve1
"-0,90076","624,13"
"-0,70084","634,21"
"-0,49873","643,98"
"-0,2988","729,17"
"-0,09924","679,16"
"0,10178","739,31"
"0,30134","799,47"
"0,50055","809,86"
"0,70265","834,96"
"0,90222","855,06"
