x,Curve1
"-0,8978","13,058"
"-0,69775","39,087"
"-0,49942","30,115"
"-0,29852","24,118"
"-0,09778","45,217"
"0,10235","33,164"
"0,30215","25,16"
"0,50164","25,255"
"0,70214","14,171"
"0,90234","12,241"
